-----------------------------------------
| concept            | property         |
| "Np"               | "block"          |
| "Np"               | "standardState"  |
| "Np"               | "classification" |
| "Np"               | "group"          |
| "Sn"               | "period"         |
| "Sn"               | "type"           |
| "Sn"               | "block"          |
| "Sn"               | "standardState"  |
| "Sn"               | "classification" |
| "Sn"               | "group"          |
| "period_2"         | "element"        |
| "period_2"         | "type"           |
| "Ni"               | "period"         |
| "Ni"               | "type"           |
| "Ni"               | "block"          |
| "Ni"               | "standardState"  |
| "Ni"               | "classification" |
| "Ni"               | "group"          |
| "block"            | "type"           |
| "standardState"    | "type"           |
| "group_2"          | "element"        |
| "group_2"          | "type"           |
| "Te"               | "period"         |
| "Te"               | "type"           |
| "Te"               | "block"          |
| "Te"               | "standardState"  |
| "Te"               | "classification" |
| "Te"               | "group"          |
| "Fr"               | "period"         |
| "Fr"               | "type"           |
| "Fr"               | "block"          |
| "Fr"               | "standardState"  |
| "Fr"               | "classification" |
| "Fr"               | "group"          |
| "Co"               | "period"         |
| "Co"               | "type"           |
| "Co"               | "block"          |
| "Co"               | "standardState"  |
| "Co"               | "classification" |
| "Co"               | "group"          |
| "liquid"           | "type"           |
| "Bk"               | "period"         |
| "Bk"               | "type"           |
| "Bk"               | "block"          |
| "Bk"               | "standardState"  |
| "Bk"               | "classification" |
| "Bk"               | "group"          |
| "Nd"               | "period"         |
| "Nd"               | "type"           |
| "Nd"               | "block"          |
| "Nd"               | "standardState"  |
| "Nd"               | "classification" |
| "Nd"               | "group"          |
| "Eu"               | "period"         |
| "Eu"               | "type"           |
| "Eu"               | "block"          |
| "Eu"               | "standardState"  |
| "Eu"               | "classification" |
| "Eu"               | "group"          |
| "group_13"         | "element"        |
| "group_13"         | "type"           |
| "group_10"         | "element"        |
| "group_10"         | "type"           |
| "Ar"               | "period"         |
| "Ar"               | "type"           |
| "Ar"               | "block"          |
| "Ar"               | "standardState"  |
| "Ar"               | "classification" |
| "Ar"               | "group"          |
| "Cl"               | "period"         |
| "Cl"               | "type"           |
| "Cl"               | "block"          |
| "Cl"               | "standardState"  |
| "Cl"               | "classification" |
| "Cl"               | "group"          |
| "Uub"              | "period"         |
| "Uub"              | "type"           |
| "Uub"              | "block"          |
| "Uub"              | "standardState"  |
| "Uub"              | "classification" |
| "Uub"              | "group"          |
| "Tc"               | "period"         |
| "Tc"               | "type"           |
| "Tc"               | "block"          |
| "Tc"               | "standardState"  |
| "Tc"               | "classification" |
| "Tc"               | "group"          |
| "Cf"               | "period"         |
| "Cf"               | "type"           |
| "Cf"               | "block"          |
| "Cf"               | "standardState"  |
| "Cf"               | "classification" |
| "Cf"               | "group"          |
| "period_5"         | "element"        |
| "period_5"         | "type"           |
| "Rn"               | "period"         |
| "Rn"               | "type"           |
| "Rn"               | "block"          |
| "Rn"               | "standardState"  |
| "Rn"               | "classification" |
| "Rn"               | "group"          |
| "Rf"               | "period"         |
| "Rf"               | "type"           |
| "Rf"               | "block"          |
| "Rf"               | "standardState"  |
| "Rf"               | "classification" |
| "Rf"               | "group"          |
| "Th"               | "period"         |
| "Th"               | "type"           |
| "Th"               | "block"          |
| "Th"               | "standardState"  |
| "Th"               | "classification" |
| "Th"               | "group"          |
| "Mo"               | "period"         |
| "Mo"               | "type"           |
| "Mo"               | "block"          |
| "Mo"               | "standardState"  |
| "Mo"               | "classification" |
| "Mo"               | "group"          |
| "atomicNumber"     | "type"           |
| "Ho"               | "period"         |
| "Ho"               | "type"           |
| "Ho"               | "block"          |
| "Ho"               | "standardState"  |
| "Ho"               | "classification" |
| "Ho"               | "group"          |
| "W"                | "period"         |
| "W"                | "type"           |
| "W"                | "block"          |
| "W"                | "standardState"  |
| "W"                | "classification" |
| "W"                | "group"          |
| "f-block"          | "type"           |
| "Er"               | "period"         |
| "Er"               | "type"           |
| "Er"               | "block"          |
| "Er"               | "standardState"  |
| "Er"               | "classification" |
| "Er"               | "group"          |
| "K"                | "period"         |
| "K"                | "type"           |
| "K"                | "block"          |
| "K"                | "standardState"  |
| "K"                | "classification" |
| "K"                | "group"          |
| "Am"               | "period"         |
| "Am"               | "type"           |
| "Am"               | "block"          |
| "Am"               | "standardState"  |
| "Am"               | "classification" |
| "Am"               | "group"          |
| "Classification"   | "type"           |
| "Se"               | "period"         |
| "Se"               | "type"           |
| "Se"               | "block"          |
| "Se"               | "standardState"  |
| "Se"               | "classification" |
| "Se"               | "group"          |
| "Pr"               | "period"         |
| "Pr"               | "type"           |
| "Pr"               | "block"          |
| "Pr"               | "standardState"  |
| "Pr"               | "classification" |
| "Pr"               | "group"          |
| "Si"               | "period"         |
| "Si"               | "type"           |
| "Si"               | "block"          |
| "Si"               | "standardState"  |
| "Si"               | "classification" |
| "Si"               | "group"          |
| "state_unknown"    | "type"           |
| "Sm"               | "period"         |
| "Sm"               | "type"           |
| "Sm"               | "block"          |
| "Sm"               | "standardState"  |
| "Sm"               | "classification" |
| "Sm"               | "group"          |
| "Po"               | "period"         |
| "Po"               | "type"           |
| "Po"               | "block"          |
| "Po"               | "standardState"  |
| "Po"               | "classification" |
| "Po"               | "group"          |
| "As"               | "period"         |
| "As"               | "type"           |
| "As"               | "block"          |
| "As"               | "standardState"  |
| "As"               | "classification" |
| "As"               | "group"          |
| "He"               | "period"         |
| "He"               | "type"           |
| "He"               | "block"          |
| "He"               | "standardState"  |
| "He"               | "classification" |
| "He"               | "group"          |
| "Uus"              | "period"         |
| "Uus"              | "type"           |
| "Uus"              | "block"          |
| "Uus"              | "standardState"  |
| "Uus"              | "group"          |
| "group_14"         | "element"        |
| "group_14"         | "type"           |
| "Uuo"              | "period"         |
| "Uuo"              | "type"           |
| "Uuo"              | "block"          |
| "Uuo"              | "standardState"  |
| "Uuo"              | "classification" |
| "Uuo"              | "group"          |
| "group_18"         | "element"        |
| "group_18"         | "type"           |
| "B"                | "period"         |
| "B"                | "type"           |
| "B"                | "block"          |
| "B"                | "standardState"  |
| "B"                | "classification" |
| "B"                | "group"          |
| "N"                | "period"         |
| "N"                | "type"           |
| "N"                | "block"          |
| "N"                | "standardState"  |
| "N"                | "classification" |
| "N"                | "group"          |
| "group_9"          | "element"        |
| "group_9"          | "type"           |
| "Cs"               | "period"         |
| "Cs"               | "type"           |
| "Cs"               | "block"          |
| "Cs"               | "standardState"  |
| "Cs"               | "classification" |
| "Cs"               | "group"          |
| "Db"               | "period"         |
| "Db"               | "type"           |
| "Db"               | "block"          |
| "Db"               | "standardState"  |
| "Db"               | "classification" |
| "Db"               | "group"          |
| "period_6"         | "element"        |
| "period_6"         | "type"           |
| "Block"            | "type"           |
| "Uuh"              | "period"         |
| "Uuh"              | "type"           |
| "Uuh"              | "block"          |
| "Uuh"              | "standardState"  |
| "Uuh"              | "classification" |
| "Uuh"              | "group"          |
| "group_5"          | "element"        |
| "group_5"          | "type"           |
| "Sc"               | "period"         |
| "Sc"               | "type"           |
| "Sc"               | "block"          |
| "Sc"               | "standardState"  |
| "Sc"               | "classification" |
| "Sc"               | "group"          |
| "classification"   | "type"           |
| "Cu"               | "period"         |
| "Cu"               | "type"           |
| "Cu"               | "block"          |
| "Cu"               | "standardState"  |
| "Cu"               | "classification" |
| "Cu"               | "group"          |
| "group_3"          | "element"        |
| "group_3"          | "type"           |
| "Uuq"              | "period"         |
| "Uuq"              | "type"           |
| "Uuq"              | "block"          |
| "Uuq"              | "standardState"  |
| "Uuq"              | "classification" |
| "Uuq"              | "group"          |
| "Mg"               | "period"         |
| "Mg"               | "type"           |
| "Mg"               | "block"          |
| "Mg"               | "standardState"  |
| "Mg"               | "classification" |
| "Mg"               | "group"          |
| "P"                | "period"         |
| "P"                | "type"           |
| "P"                | "block"          |
| "P"                | "standardState"  |
| "P"                | "classification" |
| "P"                | "group"          |
| "Rb"               | "period"         |
| "Rb"               | "type"           |
| "Rb"               | "block"          |
| "Rb"               | "standardState"  |
| "Rb"               | "classification" |
| "Rb"               | "group"          |
| "Bh"               | "period"         |
| "Bh"               | "type"           |
| "Bh"               | "block"          |
| "Bh"               | "standardState"  |
| "Bh"               | "classification" |
| "Bh"               | "group"          |
| "Es"               | "period"         |
| "Es"               | "type"           |
| "Es"               | "block"          |
| "Es"               | "standardState"  |
| "Es"               | "classification" |
| "Es"               | "group"          |
| "Y"                | "period"         |
| "Y"                | "type"           |
| "Y"                | "block"          |
| "Y"                | "standardState"  |
| "Y"                | "classification" |
| "Y"                | "group"          |
| "Uuu"              | "period"         |
| "Uuu"              | "type"           |
| "Uuu"              | "block"          |
| "Uuu"              | "standardState"  |
| "Uuu"              | "classification" |
| "Uuu"              | "group"          |
| "Pb"               | "period"         |
| "Pb"               | "type"           |
| "Pb"               | "block"          |
| "Pb"               | "standardState"  |
| "Pb"               | "classification" |
| "Pb"               | "group"          |
| "Tl"               | "period"         |
| "Tl"               | "type"           |
| "Tl"               | "block"          |
| "Tl"               | "standardState"  |
| "Tl"               | "classification" |
| "Tl"               | "group"          |
| "group_lanthanoid" | "element"        |
| "group_lanthanoid" | "type"           |
| "V"                | "period"         |
| "V"                | "type"           |
| "V"                | "block"          |
| "V"                | "standardState"  |
| "V"                | "classification" |
| "V"                | "group"          |
| "Sr"               | "period"         |
| "Sr"               | "type"           |
| "Sr"               | "block"          |
| "Sr"               | "standardState"  |
| "Sr"               | "classification" |
| "Sr"               | "group"          |
| "Hs"               | "period"         |
| "Hs"               | "type"           |
| "Hs"               | "block"          |
| "Hs"               | "standardState"  |
| "Hs"               | "classification" |
| "Hs"               | "group"          |
| "Ba"               | "period"         |
| "Ba"               | "type"           |
| "Ba"               | "block"          |
| "Ba"               | "standardState"  |
| "Ba"               | "classification" |
| "Ba"               | "group"          |
| "group_17"         | "element"        |
| "group_17"         | "type"           |
| "Pu"               | "period"         |
| "Pu"               | "type"           |
| "Pu"               | "block"          |
| "Pu"               | "standardState"  |
| "Pu"               | "classification" |
| "Pu"               | "group"          |
| "Yb"               | "period"         |
| "Yb"               | "type"           |
| "Yb"               | "block"          |
| "Yb"               | "standardState"  |
| "Yb"               | "classification" |
| "Yb"               | "group"          |
| "Be"               | "period"         |
| "Be"               | "type"           |
| "Be"               | "block"          |
| "Be"               | "standardState"  |
| "Be"               | "classification" |
| "Be"               | "group"          |
| "Bi"               | "period"         |
| "Bi"               | "type"           |
| "Bi"               | "block"          |
| "Bi"               | "standardState"  |
| "Bi"               | "classification" |
| "Bi"               | "group"          |
| "group_8"          | "element"        |
| "group_8"          | "type"           |
| "Ir"               | "period"         |
| "Ir"               | "type"           |
| "Ir"               | "block"          |
| "Ir"               | "standardState"  |
| "Ir"               | "classification" |
| "Ir"               | "group"          |
| "Pm"               | "period"         |
| "Pm"               | "type"           |
| "Pm"               | "block"          |
| "Pm"               | "standardState"  |
| "Pm"               | "classification" |
| "Pm"               | "group"          |
| "At"               | "period"         |
| "At"               | "type"           |
| "At"               | "block"          |
| "At"               | "standardState"  |
| "At"               | "classification" |
| "At"               | "group"          |
| "Re"               | "period"         |
| "Re"               | "type"           |
| "Re"               | "block"          |
| "Re"               | "standardState"  |
| "Re"               | "classification" |
| "Re"               | "group"          |
| "Ga"               | "period"         |
| "Ga"               | "type"           |
| "Ga"               | "block"          |
| "Ga"               | "standardState"  |
| "Ga"               | "classification" |
| "Ga"               | "group"          |
| "Non-metallic"     | "type"           |
| "group"            | "type"           |
| "period_1"         | "element"        |
| "period_1"         | "type"           |
| "atomicWeight"     | "type"           |
| "Sb"               | "period"         |
| "Sb"               | "type"           |
| "Sb"               | "block"          |
| "Sb"               | "standardState"  |
| "Sb"               | "classification" |
| "Sb"               | "group"          |
| "Md"               | "period"         |
| "Md"               | "type"           |
| "Md"               | "block"          |
| "Md"               | "standardState"  |
| "Md"               | "classification" |
| "Md"               | "group"          |
| "Lu"               | "period"         |
| "Lu"               | "type"           |
| "Lu"               | "block"          |
| "Lu"               | "standardState"  |
| "Lu"               | "classification" |
| "Lu"               | "group"          |
| ""                 | "symbol"         |
| "period_6"         | "period"         |
| ""                 | "name"           |
| ""                 | "color"          |
| ""                 | "casRegistryID"  |
| "f-block"          | "block"          |
| "solid"            | "standardState"  |
| ""                 | "atomicNumber"   |
| "Metallic"         | "classification" |
| "group_lanthanoid" | "group"          |
| ""                 | "atomicWeight"   |
| "period_7"         | "period"         |
| "group_actinoid"   | "group"          |
| "period_4"         | "period"         |
| "d-block"          | "block"          |
| "group_6"          | "group"          |
| "O"                | "element"        |
| "S"                | "element"        |
| "Te"               | "element"        |
| "Se"               | "element"        |
| "Po"               | "element"        |
| "Uuh"              | "element"        |
| ""                 | "number"         |
| "group_3"          | "group"          |
| "group_8"          | "group"          |
| "period_5"         | "period"         |
| "group_12"         | "group"          |
| "p-block"          | "block"          |
| "state_unknown"    | "standardState"  |
| "group_15"         | "group"          |
| "period_2"         | "period"         |
| "s-block"          | "block"          |
| "group_1"          | "group"          |
| "Ti"               | "element"        |
| "Zr"               | "element"        |
| "Hf"               | "element"        |
| "Rf"               | "element"        |
| "ObjectProperty"   | "type"           |
| ""                 | "subClassOf"     |
| "Class"            | "type"           |
| "period_1"         | "period"         |
| "gas"              | "standardState"  |
| "Non-metallic"     | "classification" |
| "group_10"         | "group"          |
| "Cr"               | "element"        |
| "Sg"               | "element"        |
| "Mo"               | "element"        |
| "W"                | "element"        |
| "DatatypeProperty" | "type"           |
| "Cd"               | "element"        |
| "Zn"               | "element"        |
| "Hg"               | "element"        |
| "Uub"              | "element"        |
| "group_2"          | "group"          |
| ""                 | "oneOf"          |
| "Fe"               | "element"        |
| "Ca"               | "element"        |
| "Br"               | "element"        |
| "Kr"               | "element"        |
| "Mn"               | "element"        |
| "Ge"               | "element"        |
